"snippet","data_ref","x","y"
"fis'","bwv245-main.ly:19:11",35.561,23.8727
"a'","bwv245-main.ly:23:14",72.1252,22.8727
"bes'","bwv245-main.ly:29:10",133.4202,22.3727
"d'","bwv245-main.ly:35:11",196.3484,24.8727
"g'","bwv245-main.ly:39:5",229.1301,23.3727
