"snippet","data_ref","x","y"
"f'","bwv245-main.ly:31:11",153.345,23.873
"d","bwv245-main.ly:138:13",157.399,49.373
"f","bwv245-main.ly:107:14",157.399,41.873
"a","bwv245-main.ly:76:20",157.399,35.373
"d'","bwv245-main.ly:31:14",157.399,24.873
"c","bwv245-main.ly:138:16",160.336,49.873
"ees'","bwv245-main.ly:31:18",160.336,24.373
"bes,","bwv245-main.ly:140:5",164.227,50.373
"bes","bwv245-main.ly:109:5",164.227,40.373
"d'","bwv245-main.ly:78:5",164.227,33.873
"f'","bwv245-main.ly:33:5",164.227,23.873
"c","bwv245-main.ly:140:10",166.73,49.873
"ees'","bwv245-main.ly:78:9",166.73,33.373
"d","bwv245-main.ly:140:12",169.233,49.373
"bes","bwv245-main.ly:109:9",169.233,40.373
"f'","bwv245-main.ly:78:14",169.233,32.873
"f'","bwv245-main.ly:33:9",169.233,23.873
"bes,","bwv245-main.ly:140:14",171.486,50.373
"ees","bwv245-main.ly:140:19",174.152,48.873
"bes","bwv245-main.ly:109:13",174.152,40.373
"f'","bwv245-main.ly:78:18",174.152,32.873
"g'","bwv245-main.ly:33:12",174.152,23.373
"ees'","bwv245-main.ly:78:22",176.937,33.373
"f","bwv245-main.ly:140:24",179.723,48.373
"a","bwv245-main.ly:109:17",179.723,40.873
"ees'","bwv245-main.ly:78:27",179.723,33.373
"f'","bwv245-main.ly:33:15",179.723,23.873
"d'","bwv245-main.ly:78:32",182.226,33.873
"g","bwv245-main.ly:142:5",186.234,47.873
"bes","bwv245-main.ly:111:5",186.234,40.373
"d'","bwv245-main.ly:80:5",186.234,33.873
"ees'","bwv245-main.ly:35:5",186.234,24.373
"c'","bwv245-main.ly:80:8",188.737,34.373
"bes","bwv245-main.ly:80:13",190.691,34.873
"a","bwv245-main.ly:142:7",192.646,47.373
"f","bwv245-main.ly:111:9",192.646,41.873
"c'","bwv245-main.ly:80:17",192.646,34.373
"bes","bwv245-main.ly:142:9",196.348,46.873
"f","bwv245-main.ly:111:11",196.348,41.873
"bes","bwv245-main.ly:80:21",196.348,34.873
"d'","bwv245-main.ly:35:11",196.348,24.873
"bes","bwv245-main.ly:142:13",201.92,46.873
"f'","bwv245-main.ly:111:13",201.92,38.373
"bes'","bwv245-main.ly:80:25",201.92,31.373
"d''","bwv245-main.ly:35:24",201.92,21.373
"fis","bwv245-main.ly:144:5",207.681,48.373
"ees'","bwv245-main.ly:113:5",207.681,38.873
"a'","bwv245-main.ly:82:5",207.681,31.873
"c''","bwv245-main.ly:37:5",207.681,21.873
"g","bwv245-main.ly:144:9",212.513,47.873
"d'","bwv245-main.ly:113:10",212.513,39.373
"g'","bwv245-main.ly:82:8",212.513,32.373
"bes'","bwv245-main.ly:37:9",212.513,22.373
"a'","bwv245-main.ly:37:15",215.894,22.873
"cis","bwv245-main.ly:144:11",218.397,49.873
"e'","bwv245-main.ly:113:13",218.397,38.873
"g'","bwv245-main.ly:82:11",218.397,32.373
"a'","bwv245-main.ly:37:18",218.397,22.873
"d","bwv245-main.ly:144:15",222.106,49.373
"d'","bwv245-main.ly:113:16",222.106,39.373
"fis'","bwv245-main.ly:82:14",222.106,32.873
"c'","bwv245-main.ly:113:20",224.609,39.873
"g,","bwv245-main.ly:146:5",229.13,51.373
"b","bwv245-main.ly:115:5",229.13,40.373
"d'","bwv245-main.ly:84:5",229.13,33.873
"g'","bwv245-main.ly:39:5",229.13,23.373
